local_date,headgate_x,headgate_y,tailgate_x,tailgate_y,panel,notes
2009-11-02,10101.38,5037.66,10033.79,4807.97,1,panel 1 start
2009-12-01,10459.93,4944.25,10391.64,4714.74,1,
2010-01-01,10746.33,4869.63,10680.99,4639.37,1,
2010-02-01,11104.11,4776.42,11041.43,4545.47,1,
2010-03-01,11319.43,4720.33,11257.63,4489.15,1,
2010-04-01,11654.2,4633.11,11582.67,4404.48,1,
2010-05-01,11906.68,4567.33,11833.68,4339.09,1,
2010-05-26,12151.5,4503.55,12091.17,4272.01,1,
2010-08-24,10110.76,5421.25,10040.14,5179.6,2,
2010-09-01,10193.38,5399.72,10116.67,5159.67,2,
2010-10-01,10461.5,5329.87,10388.03,5088.97,2,
2010-11-01,10690.68,5270.17,10615.73,5029.65,2,
2010-12-01,10821.05,5236.2,10740.2,4997.22,2,
2011-01-01,11020.43,5184.26,10947.55,4943.2,2,
2011-02-01,11272.33,5118.63,11195.91,4878.5,2,
2011-02-17,11434.26,5076.44,11364.33,4834.62,2,
2011-03-25,11478.79,5064.84,11415.35,4821.33,2,
2011-04-06,11774.96,4987.65,11711.49,4744.18,2b,
2011-05-01,11927.42,4947.96,11854.83,4706.83,2b,
2011-05-31,12066,4911.86,11995.23,4670.25,2b,
2011-06-21,12127.69,4895.79,12056.88,4654.19,2b,
2011-07-09,10063.32,5821.34,9992.2,5578.07,3,
2011-08-01,10209.25,5783.44,10133.86,5541.22,3,
2011-09-01,10440.1,5722.92,10365.99,5480.74,3,
2011-10-01,10635.91,5671.71,10564.79,5428.95,3,
2011-10-18,10737.84,5644.96,10663.09,5403.35,3,
2011-11-28,10803.15,5627.64,10733.78,5384.93,3,
2012-02-17,11018.89,5570.69,10983.31,5434.12,3b,
2012-03-01,11178.91,5529,11140.38,5393.2,3b,
2012-04-01,11447.02,5459.15,11410.56,5322.81,3b,
2012-05-01,11807.16,5365.31,11776.01,5227.59,3b,
2012-05-23,12044.88,5303.34,12009.31,5166.79,3b,
2012-06-11,10276.65,6288.1,10205.28,6029.23,4,
2012-07-01,10401.85,6255.51,10321.76,5998.88,4,
2012-07-30,10571.75,6211.29,10490.77,5954.85,4,
2012-09-01,10724.55,6171.52,10649.46,5913.51,4,
2012-09-11,10750.97,6164.65,10683.25,5904.71,4b,
2012-09-26,10894.45,6127.31,10820.82,5868.87,4b,
2012-10-01,10930.43,6117.91,10855.04,5859.95,4b,
2012-11-01,11162.58,6057.52,11086.87,5799.55,4b,
2012-12-01,11346.94,6009.54,11267.09,5752.6,4b,
